Course Name,Teaching Faculty,Class ID,Exam Date,Main Proctor Department,Joint Proctor Department
管理会计,李绍坤,21信息管理 21电子商务 21大数据1班 21大数据2班 21交叉科学实验班 22数量经济（中外） 22金融学1班 22金融学2班 22金融学3班 22数学经济双学位班 21税收学 22金融学（留） 22世界经济 22劳动经济 22经济学基地班 22行政管理 22劳动与社会保障,12/17/2024,会计学院,经济学院
计量经济学,范馨月,22保险精算1班 22保险精算2班 22国际金融1班（中外） 22国际金融2班（中外） 22金融学（留）,12/17/2024,经济学院,金融学院
计量经济学,李聪,22金融学1班 22金融学2班 22金融学3班,12/17/2024,经济学院,金融学院
计量经济学,陶佶,21数学,12/17/2024,经济学院,数学学院
博弈论与信息经济学,曾华夏,21会计学1班 21会计学2班 21国会ACCA（中外）1班 21国会ACCA（中外）2班 22金融学1班 22金融学2班 21会计实验班,12/24/2024,经济学院,会计学院
博弈论与信息经济学,孟大文,21国会ACCA（中外）2班 21国会ACCA（中外）1班 21会计学2班 22金融学2班 21会计学1班 22金融学1班 21会计实验班,12/24/2024,经济学院,金融学院
博弈论与信息经济学,孟大文,23工商统计双学位2班 22金融学3班 23工商统计双学位1班 22商务分析实验班 22市场营销 22战略与创新创业 22人力资源,12/24/2024,经济学院,商学院
博弈论与信息经济学,荣康,21国会ACCA（中外）2班 21国会ACCA（中外）1班 21会计学2班 22金融学2班 21会计学1班 22金融学1班 21会计实验班,12/24/2024,经济学院,会计学院
博弈论与信息经济学,荣康,23工商统计双学位2班 22金融学3班 23工商统计双学位1班 22商务分析实验班 22市场营销 22战略与创新创业 22人力资源,12/24/2024,经济学院,商学院
博弈论与信息经济学,杨超,23工商统计双学位2班 22金融学3班 23工商统计双学位1班 22商务分析实验班 22市场营销 22战略与创新创业 22人力资源,12/24/2024,经济学院,金融学院
泛函分析,赵娜,22经济数学双学位班 22数学经济双学位班 22财经数学实验班 22信息与计算 22数学,12/24/2024,数学学院,经济学院
国际经济学,陈媛媛,22经济数学双学位班 22经济学拔尖班 22劳动经济,12/24/2024,经济学院,经济学院
国际经济学,陈媛媛,22经济数学双学位班 22经济学拔尖班 22劳动经济,12/24/2024,经济学院,经济学院
国际经济学,赵琳,22数学经济双学位班 22世界经济 22经济学基地班,12/24/2024,经济学院,经济学院
国际经济学,赵琳,22数学经济双学位班 22世界经济 22经济学基地班,12/24/2024,经济学院,经济学院
国际经济学（中外）,赵琳,22数量经济（中外）,12/24/2024,经济学院,经济学院
中级宏观经济学,蒋荷露,23法学金融双学位班 23金融学1班 23金融学2班 23金融学3班 23保险精算1班 23保险精算2班 23金融统计双学位1班 23金融统计双学位2班,12/24/2024,经济学院,金融学院
中级宏观经济学,蒋荷露,23法学金融双学位班 23金融学1班 23金融学2班 23金融学3班 23保险精算1班 23保险精算2班 23金融统计双学位1班 23金融统计双学位2班,12/24/2024,经济学院,金融学院
中级宏观经济学,李双建,23法学金融双学位班 23金融学1班 23金融学2班 23金融学3班 23保险精算1班 23保险精算2班 23金融统计双学位1班 23金融统计双学位2班,12/24/2024,经济学院,金融学院
中级宏观经济学,李双建,23法学金融双学位班 23金融学1班 23金融学2班 23金融学3班 23保险精算1班 23保险精算2班 23金融统计双学位1班 23金融统计双学位2班,12/24/2024,经济学院,金融学院
中级宏观经济学,宁磊,23财政学1班 23财政学2班 23投资学1班 23投资学2班 23会计学1班 23会计学2班 23投资数学双学位班 23会计实验班,12/24/2024,经济学院,公共经济与管理学院
中级宏观经济学,宁磊,23财政学1班 23财政学2班 23投资学1班 23投资学2班 23会计学1班 23会计学2班 23投资数学双学位班 23会计实验班,12/24/2024,经济学院,公共经济与管理学院
中级宏观经济学,王玉琴,23会计实验班 23投资数学双学位班 23财政学1班 23投资学2班 23投资学1班 23财政学2班 23会计学2班 23会计学1班,12/24/2024,经济学院,会计学院
中级宏观经济学,吴化斌,23数字经济实验班 23经济学拔尖班 23金融科技拔尖班,12/24/2024,经济学院,匡时书院
中级宏观经济学,吴化斌,23数字经济实验班 23经济学拔尖班 23金融科技拔尖班,12/24/2024,经济学院,匡时书院
中级宏观经济学,张同斌,23法学金融双学位班 23金融学1班 23金融学2班 23金融学3班 23保险精算1班 23保险精算2班 23金融统计双学位1班 23金融统计双学位2班,12/24/2024,经济学院,金融学院
中级宏观经济学,张同斌,23法学金融双学位班 23金融学1班 23金融学2班 23金融学3班 23保险精算1班 23保险精算2班 23金融统计双学位1班 23金融统计双学位2班,12/24/2024,经济学院,金融学院
中级宏观经济学,张同斌,23财政学1班 23财政学2班 23投资学1班 23投资学2班 23会计学1班 23会计学2班 23投资数学双学位班 23会计实验班,12/24/2024,经济学院,公共经济与管理学院
中级宏观经济学,张同斌,23财政学1班 23财政学2班 23投资学1班 23投资学2班 23会计学1班 23会计学2班 23投资数学双学位班 23会计实验班,12/24/2024,经济学院,会计学院
中级宏观经济学,朱梅,23财政学1班 23财政学2班 23投资学1班 23投资学2班 23会计学1班 23会计学2班 23投资数学双学位班 23会计实验班,12/24/2024,经济学院,公共经济与管理学院
中级宏观经济学,朱梅,23财政学1班 23财政学2班 23投资学1班 23投资学2班 23会计学1班 23会计学2班 23投资数学双学位班 23会计实验班,12/24/2024,经济学院,会计学院
中级宏观经济学（留学生）,王玉琴,23国际经济与贸易（留） 23金融学（留）,12/24/2024,经济学院,金融学院
中级宏观经济学（中外）,Yongwook Kim,23国际金融1班（中外） 23国际金融2班（中外） 23金融实验班（中外）,12/24/2024,经济学院,金融学院
中级宏观经济学（中外）,Yongwook Kim,23国际金融1班（中外） 23国际金融2班（中外） 23金融实验班（中外）,12/24/2024,经济学院,金融学院
中级宏观经济学（中外）,Yongwook Kim,23国会ACCA（中外）1班 23国会ACCA（中外）2班,12/24/2024,经济学院,会计学院
中级宏观经济学（中外）,Yongwook Kim,23国会ACCA（中外）1班 23国会ACCA（中外）2班,12/24/2024,经济学院,会计学院
